Name,Type,Owner,Region,Location,Supply,Fuel,Port,Port_SPS,P Exp,Airbase,Airbase_SPS,A Exp,Forts,F Exp,Eng,Nav,Air S (P),AV,Garrison,Troop Cap,HQ,Japan VP,Allied VP,ID,Troop Cap Max
Tsingtao,Base,0,China,"95,47",42030,47400,4,5,,4,7,,4,,41,64 (0),41 (3),244,200,11762,China Expeditionary Army,12 (1),36 (3),405,unlim
Weihsien,Airfield,0,China,"95,46",705,0,0,0,,1,7,,1,,0,0 (0),0 (0),44,40,1120,China Expeditionary Army,2 (1),6 (3),406,unlim
Wuchang,Base,0,China,"84,51",10530,0,1,0,,3,7,,4,,135,0 (0),0 (0),1244,200,47722,China Expeditionary Army,7 (1),21 (3),407,unlim
Wuhu,Base,0,China,"89,53",600,0,0,0,,0,7,,1,,3,0 (0),0 (0),54,50,1680,China Expeditionary Army,0 (1),0 (3),408,unlim
Wusih,Base,0,China,"91,53",1050,0,1,0,,1,7,,1,,0,0 (0),0 (0),70,60,2122,China Expeditionary Army,3 (1),9 (3),409,unlim
Taiyuan,Airfield,0,China,"91,40",3255,0,0,0,,1,2,,1,,21,0 (0),21 (0),344,60,14443,China Expeditionary Army,2 (1),6 (3),410,unlim
Kiungshan,Base,0,Indochina,"71,61",32355,0,1,1,,2,7,0,1,,8,0 (0),14 (0),0,0,384,Southern Army,5 (1),15 (3),413,unlim
Samah,Base,0,Indochina,"69,63",84098,35100,3,3,,4,7,0,1,,245,351 (0),70 (22),297,0,23931,Southern Army,11 (1),33 (3),414,unlim
Battambang,Airfield,0,Indochina,"58,65",5355,0,0,0,,3,7,0,0,9,106,0 (0),0 (0),687,0,24412,Southern Army,6 (1),6 (1),417,unlim
Bien Hoa,Airfield,0,Indochina,"61,70",6555,0,0,0,,5,7,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,10 (1),10 (1),418,unlim
Cam Ranh Bay,Base,0,Indochina,"64,72",87903,157300,5,6,0,4,5,0,1,,97,342 (0),66 (9),333,0,17731,Southern Army,13 (1),13 (1),419,unlim
Dalat,Airfield,0,Indochina,"63,71",1050,0,0,0,,2,5,0,0,9,15,0 (0),28 (0),8,0,1207,Southern Army,4 (1),4 (1),420,unlim
Tourane,Base,0,Indochina,"66,65",4725,0,2,1,,1,7,0,1,,4,0 (0),7 (12),0,0,192,Southern Army,4 (1),4 (1),421,unlim
Haiphong,Base,0,Indochina,"68,57",57855,92400,4,6,0,3,7,0,0,9,12,0 (0),0 (0),27,20,1251,Southern Army,10 (1),10 (1),422,unlim
Hanoi,Airfield,0,Indochina,"68,56",4050,0,0,0,,1,7,0,3,,14,0 (0),7 (0),107,20,4723,Southern Army,2 (1),2 (1),423,unlim
Hue,Base,0,Indochina,"66,64",255,0,0,1,0,1,7,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,2 (1),2 (1),424,unlim
Kompong Chhnang,Airfield,0,Indochina,"59,68",11700,0,0,0,,4,7,0,0,9,60,0 (0),137 (53),32,0,6246,Southern Army,8 (1),8 (1),425,unlim
Kompong Trach,Base,0,Indochina,"57,70",18450,10000,2,2,,4,7,0,0,9,77,0 (0),215 (122),56,0,8845,Southern Army,10 (1),10 (1),426,unlim
Kratie,Airfield,0,Indochina,"61,69",2355,0,0,0,,3,7,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,6 (1),6 (1),427,unlim
Lang Son,Airfield,0,Indochina,"70,56",1800,0,0,0,,1,7,0,3,,15,0 (0),0 (0),112,0,3936,Southern Army,2 (1),2 (1),428,unlim
Lao Cai,Beach,0,Indochina,"68,53",0,0,0,0,,0,4,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,0 (1),0 (1),429,unlim
Luangprabang,Airfield,0,Indochina,"63,55",255,0,0,0,,1,2,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,2 (1),2 (1),430,unlim
Pakse,Airfield,0,Indochina,"63,64",255,0,0,0,,1,7,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,2 (1),2 (1),431,unlim
Phnom Penh,Airfield,0,Indochina,"58,69",19230,0,0,0,,4,7,0,0,9,39,0 (0),67 (79),8,10,3369,Southern Army,8 (1),8 (1),432,unlim
Quinhon,Base,0,Indochina,"65,69",4725,0,2,1,,1,7,0,1,,0,56 (56),0 (0),0,0,0,Southern Army,4 (1),4 (1),433,unlim
Rachgia,Base,0,Indochina,"57,71",2355,0,2,1,,1,7,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,4 (1),4 (1),434,unlim
Saigon,Base,0,Indochina,"60,71",52560,98200,5,6,0,5,7,0,1,,101,123 (45),179 (163),98,60,18166,Southern Army,15 (1),375 (25),435,unlim
Siem Reap,Airfield,0,Indochina,"59,65",5505,0,0,0,,1,7,0,0,9,11,0 (0),21 (39),8,0,1015,Southern Army,2 (1),2 (1),436,unlim
Soc Trang,Base,0,Indochina,"58,73",34200,0,2,1,,2,7,0,0,9,24,0 (0),46 (33),0,0,2204,Southern Army,6 (1),6 (1),437,unlim
Vientiane,Beach,0,Indochina,"62,57",0,0,0,0,,0,5,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,0 (1),0 (1),438,unlim
Vinh,Base,0,Indochina,"65,59",4725,0,2,1,,1,7,0,1,,0,0 (0),0 (0),0,0,0,Southern Army,4 (1),4 (1),439,unlim
Ayuthia,Airfield,0,Thailand,"56,61",255,0,0,0,,1,7,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,2 (1),2 (1),442,unlim
Bangkok,Base,0,Thailand,"56,62",16890,38900,4,4,,4,7,0,0,9,4,0 (0),36 (0),182,50,10356,Southern Army,12 (1),12 (1),443,unlim
Chanthaburi,Base,0,Thailand,"56,65",1050,0,1,1,,1,7,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,3 (1),3 (1),444,unlim
Chiang Mai,Airfield,0,Thailand,"58,53",2550,0,0,0,,1,4,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,2 (1),2 (1),445,unlim
Nakhon Ratchasima,Airfield,0,Thailand,"58,61",1005,0,0,0,,1,7,0,0,9,4,0 (0),0 (0),137,20,5556,Southern Army,2 (1),2 (1),446,unlim
Patani,Base,0,Thailand,"51,73",4200,0,1,1,,3,7,0,0,9,0,0 (0),0 (3),123,0,3852,Southern Army,7 (1),7 (1),447,unlim
Pisanuloke,Airfield,0,Thailand,"58,57",1005,0,0,0,,1,6,0,0,9,4,0 (0),0 (0),137,10,5556,Southern Army,2 (1),2 (1),448,unlim
Rahaeng,Airfield,0,Thailand,"58,56",1050,0,0,0,,2,6,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,4 (1),4 (1),449,unlim
Singora,Base,0,Thailand,"51,72",5700,0,2,2,,2,6,0,0,9,52,0 (0),0 (89),224,0,6567,Southern Army,6 (1),6 (1),450,unlim
Surat Thani,Base,0,Thailand,"51,68",1050,0,1,1,,1,6,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,3 (1),3 (1),451,unlim
Ubon,Airfield,0,Thailand,"62,63",1005,0,0,0,,1,7,0,0,9,3,0 (0),0 (0),137,10,5424,Southern Army,2 (1),2 (1),452,unlim
Udon Thani,Airfield,0,Thailand,"61,59",1005,0,0,0,,1,7,0,0,9,3,0 (0),0 (0),137,10,5424,Southern Army,2 (1),2 (1),453,unlim
Uttaradit,Beach,0,Thailand,"59,56",0,0,0,0,,0,6,0,0,9,0,0 (0),0 (0),0,0,0,Southern Army,0 (1),0 (1),454,unlim
Agrihan,Base,0,Marianas,"111,88",0,0,0,0,,0,2,0,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,0 (1),0 (1),457,60K
Almagan,Base,0,Marianas,"110,90",0,0,0,0,,0,1,0,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,0 (1),0 (1),458,30K
Anatahan,Base,0,Marianas,"109,91",0,0,0,0,,0,2,0,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,0 (1),0 (1),459,60K
Pagan,Base,0,Marianas,"110,89",2355,0,1,1,,2,2,,0,9,12,0 (0),23 (0),0,0,1102,4th Fleet,5 (1),5 (1),460,60K
Rota,Base,0,Marianas,"107,95",255,0,1,0,,0,3,0,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,1 (1),1 (1),461,60K
Saipan,Base,0,Marianas,"108,93",62250,9500,3,1,,3,4,0,4,,36,118 (0),94 (8),39,0,7158,4th Fleet,9 (1),225 (25),462,unlim
Tinian,Base,0,Marianas,"108,94",8400,0,1,1,,3,4,0,1,,12,0 (0),23 (0),0,0,1102,4th Fleet,7 (1),175 (25),463,unlim
Babeldaob,Base,0,Caroline Islands,"90,97",86563,30250,3,2,,3,4,0,1,,235,118 (0),62 (24),489,0,26300,Southern Army,9 (1),9 (1),466,unlim
Kusaie Island,Base,0,Caroline Islands,"125,118",0,500,0,1,0,0,3,0,0,9,0,0 (0),0 (0),0,0,0,Southeast Area Fleet,0 (1),0 (1),467,unlim
Peleliu,Base,0,Caroline Islands,"90,98",1755,0,0,0,,1,2,0,0,9,4,0 (0),7 (9),9,0,641,Southern Army,2 (1),2 (1),468,30K
Ponape,Base,0,Caroline Islands,"119,113",4725,700,1,1,,2,3,0,1,,0,0 (0),0 (0),9,0,1088,Southeast Area Fleet,5 (1),5 (1),469,unlim
Satawal,Beach,0,Caroline Islands,"105,105",0,0,0,0,,0,0,,0,9,0,0 (0),0 (0),0,0,0,Southeast Area Fleet,0 (1),0 (1),470,6K
Truk,Base,0,Caroline Islands,"112,108",199525,217200,6,4,,5,2,,3,,86,428 (0),46 (11),105,0,16564,Southeast Area Fleet,16 (1),80 (5),471,60K
Ulithi,Base,0,Caroline Islands,"98,97",2355,700,3,3,,0,0,,0,9,0,0 (0),0 (0),0,0,0,Southeast Area Fleet,3 (1),3 (1),472,6K
Woleai,Base,0,Caroline Islands,"101,103",2355,1000,1,1,,2,0,,0,9,0,0 (0),0 (0),0,0,0,Southeast Area Fleet,5 (1),5 (1),473,6K
Yap,Base,0,Caroline Islands,"96,97",2355,1000,1,1,,2,3,0,0,9,0,0 (0),0 (0),0,0,0,Southeast Area Fleet,5 (1),5 (1),474,60K
Ailinglaplap,Base,0,Marshall Islands,"133,117",0,0,0,0,,0,2,0,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,0 (1),0 (1),477,30K
Ailuk,Beach,0,Marshall Islands,"136,114",0,0,0,0,,0,0,,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,0 (1),0 (1),478,6K
Bikini,Beach,0,Marshall Islands,"131,110",0,0,0,0,,0,0,,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,0 (1),0 (1),479,6K
Ebon,Beach,0,Marshall Islands,"132,122",0,0,0,0,,0,0,,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,0 (1),0 (1),480,6K
Eniwetok,Base,0,Marshall Islands,"127,108",4200,1200,3,2,,1,0,,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,5 (1),5 (1),481,6K
Jaluit,Base,0,Marshall Islands,"134,120",3167,2500,3,1,,0,0,,2,,17,0 (0),23 (8),128,0,4979,4th Fleet,3 (1),3 (1),482,6K
Kwajalein Island,Base,0,Marshall Islands,"132,115",26600,21500,3,2,,1,0,,4,,0,224 (0),70 (14),0,0,4990,4th Fleet,5 (1),5 (1),483,6K
Likiep,Beach,0,Marshall Islands,"135,114",0,0,0,0,,0,0,,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,0 (1),0 (1),484,6K
Majuro,Base,0,Marshall Islands,"136,119",255,500,1,1,,0,0,,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,1 (1),1 (1),485,6K
Maloelap,Base,0,Marshall Islands,"136,117",19680,600,1,1,,4,1,,2,,17,0 (0),23 (26),18,0,2256,4th Fleet,9 (1),9 (1),486,6K
Mili,Base,0,Marshall Islands,"136,121",2025,500,0,1,0,1,2,0,1,,8,0 (0),0 (0),9,0,1398,4th Fleet,2 (1),2 (1),487,30K
Namorik,Beach,0,Marshall Islands,"132,120",0,0,0,0,,0,0,,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,0 (1),0 (1),488,6K
Namu,Beach,0,Marshall Islands,"133,116",0,0,0,0,,0,0,,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,0 (1),0 (1),489,6K
Roi-Namur,Base,0,Marshall Islands,"132,114",18900,0,2,0,,4,1,,1,,28,229 (112),31 (46),34,0,4414,4th Fleet,10 (1),10 (1),490,6K
Rongelap,Beach,0,Marshall Islands,"132,111",0,0,0,0,,0,0,,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,0 (1),0 (1),491,6K
Taongi,Beach,0,Marshall Islands,"136,107",0,0,0,0,,0,0,,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,0 (1),0 (1),492,6K
Wotje,Base,0,Marshall Islands,"135,115",8400,200,1,1,,3,0,,1,,5,0 (0),0 (0),9,0,971,4th Fleet,7 (1),7 (1),493,6K
Marcus Island,Base,0,Marshall Islands,"123,85",1050,500,1,0,,1,0,,0,9,0,0 (0),0 (0),0,0,0,4th Fleet,3 (1),9 (3),496,6K
Astoria,Base,1,United States,"211,55",0,0,2,2,,3,7,,,,,,,,0,,,160 (20),8 (1),500,unlim
Boise,Airfield,1,United States,"218,55",0,0,0,0,,4,7,,,,,,,,0,,,800 (100),8 (1),501,unlim
Butte,Airfield,1,United States,"220,48",0,0,0,0,,1,3,,,,,,,,20,,,40 (20),2 (1),502,unlim
Eureka,Base,1,United States,"214,65",0,0,2,1,,1,5,,,,,,,,0,,,80 (20),4 (1),503,unlim
Fresno,Airfield,1,United States,"221,71",0,0,0,0,,2,7,,,,,,,,20,,,80 (20),4 (1),504,unlim
Great Falls,Airfield,1,United States,"219,44",0,0,0,0,,1,7,,,,,,,,0,,,40 (20),2 (1),505,unlim
Los Angeles,Base,1,United States,"225,76",0,0,8,9,,10,7,,,,,,,,360,,,2800 (100),28 (1),506,unlim
March Field,Airfield,1,United States,"225,75",0,0,0,0,,4,3,,,,,,,,0,,,160 (20),8 (1),507,unlim
Mare Island,Base,1,United States,"218,69",0,0,5,5,,2,7,,,,,,,,0,,,180 (20),9 (1),508,unlim
Mojave,Airfield,1,United States,"225,74",0,0,0,0,,1,7,,,,,,,,0,,,40 (20),2 (1),509,unlim
Oak Harbor,Base,1,United States,"210,51",0,0,2,2,,0,7,,,,,,,,0,,,40 (20),2 (1),510,unlim
Pendleton,Airfield,1,United States,"215,53",0,0,0,0,,2,7,,,,,,,,0,,,80 (20),4 (1),511,unlim
Port Hueneme,Base,1,United States,"224,76",0,0,1,4,,0,7,,,,,,,,0,,,20 (20),1 (1),512,unlim
Portland,Base,1,United States,"213,56",0,0,5,4,,7,7,,,,,,,,100,,,1900 (100),19 (1),513,unlim
Sacramento,Airfield,1,United States,"219,68",0,0,0,0,,5,7,,,,,,,,40,,,1000 (100),10 (1),514,unlim
Fort Ord,Airfield,1,United States,"220,72",0,0,0,0,,2,5,,,,,,,,0,,,80 (20),4 (1),515,unlim
Ogden,Airfield,1,United States,"225,57",0,0,0,0,,8,6,,,,,,,,0,,,320 (20),16 (1),516,unlim
San Clemente Island,Base,1,United States,"225,78",0,0,1,0,,0,4,,,,,,,,0,,,20 (20),1 (1),517,unlim
San Diego,Base,1,United States,"227,78",0,0,7,6,,7,7,,,,,,,,80,,,2100 (100),21 (1),518,unlim
San Francisco,Base,1,United States,"218,70",0,0,9,9,,10,7,,,,,,,,180,,,2900 (100),29 (1),519,unlim
Santa Ana,Base,1,United States,"226,76",0,0,1,1,,2,7,,,,,,,,20,,,100 (20),5 (1),520,unlim
Santa Barbara,Base,1,United States,"223,76",0,0,1,0,,1,7,,,,,,,,20,,,60 (20),3 (1),521,unlim
Santa Catalina Is,Base,1,United States,"224,77",0,0,1,0,,0,4,,,,,,,,0,,,20 (20),1 (1),522,unlim
Channel Islands,Base,1,United States,"222,77",0,0,1,0,,0,4,,,,,,,,0,,,20 (20),1 (1),523,unlim
Seattle,Base,1,United States,"212,52",0,0,6,8,,7,5,,,,,,,,120,,,2000 (100),20 (1),524,unlim
Spokane,Airfield,1,United States,"215,48",0,0,0,0,,4,7,,,,,,,,40,,,800 (100),8 (1),525,unlim
Stockton,Base,1,United States,"219,69",0,0,3,2,,2,7,,,,,,,,20,,,700 (100),7 (1),526,unlim
Tacoma,Base,1,United States,"211,53",0,0,5,6,,2,7,,,,,,,,40,,,180 (20),9 (1),527,unlim
Tillamook,Base,1,United States,"211,57",0,0,1,0,,1,7,,,,,,,,0,,,60 (20),3 (1),528,unlim
Wendover Field,Airfield,1,United States,"225,60",0,0,0,0,,4,7,,,,,,,,0,,,160 (20),8 (1),529,unlim
Adak Island,Base,1,Alaska,"162,52",0,0,1,5,,0,4,,,,,,,,0,,,5 (5),1 (1),532,unlim
Agattu Island,Base,1,Alaska,"154,50",0,0,0,0,,0,3,,,,,,,,0,,,0 (5),0 (1),533,unlim
Akutan Island,Base,1,Alaska,"171,49",0,0,1,1,,0,1,,,,,,,,0,,,5 (5),1 (1),534,unlim
Amchitka Island,Base,1,Alaska,"158,52",0,0,1,1,,0,4,,,,,,,,0,,,5 (5),1 (1),535,unlim
Anchorage,Base,1,Alaska,"181,36",0,0,2,1,,6,7,,,,,,,,0,,,350 (25),140 (10),536,unlim
Annette Island,Base,1,Alaska,"198,42",0,0,1,1,,2,4,,,,,,,,0,,,25 (5),5 (1),537,unlim
Atka Island,Base,1,Alaska,"164,52",0,0,1,2,,0,0,,,,,,,,0,,,5 (5),1 (1),538,unlim
Attu Island,Base,1,Alaska,"153,49",0,0,1,1,,0,1,,,,,,,,0,,,5 (5),1 (1),539,unlim
Bethel,Base,1,Alaska,"173,38",0,0,1,0,,0,5,,,,,,,,0,,,5 (5),1 (1),540,unlim
Buldir Island,Base,1,Alaska,"156,50",0,0,0,0,,0,4,,,,,,,,0,,,0 (5),0 (1),541,unlim
Chirikof Island,Base,1,Alaska,"179,46",0,0,0,0,,0,4,,,,,,,,0,,,0 (5),0 (1),542,unlim
Chuginadak Island,Base,1,Alaska,"168,52",0,0,0,0,,0,3,,,,,,,,0,,,0 (5),0 (1),543,unlim
Cold Bay,Base,1,Alaska,"174,48",0,0,1,1,,1,2,,,,,,,,0,,,15 (5),3 (1),544,unlim
Cordova,Base,1,Alaska,"184,36",0,0,1,1,,0,1,,,,,,,,0,,,5 (5),1 (1),545,unlim
Dutch Harbor,Base,1,Alaska,"171,50",0,0,3,3,,0,0,,,,,,,,0,,,15 (5),3 (1),546,unlim
Fairbanks,Airfield,1,Alaska,"179,29",0,0,0,0,,4,7,,,,,,,,0,,,80 (10),8 (1),547,unlim
Great Sitkin Island,Base,1,Alaska,"163,52",0,0,0,0,,0,3,,,,,,,,0,,,0 (5),0 (1),548,unlim
Gulkana,Beach,1,Alaska,"182,33",0,0,0,0,,0,7,,,,,,,,0,,,0 (5),0 (1),549,unlim
Juneau,Base,1,Alaska,"193,37",0,0,3,3,,1,0,,,,,,,,0,,,500 (100),5 (1),550,unlim
Kiska Island,Base,1,Alaska,"157,51",0,0,0,1,,0,2,,,,,,,,0,,,0 (5),0 (1),551,unlim
Kodiak,Base,1,Alaska,"181,42",0,0,3,3,,3,3,,,,,,,,0,,,45 (5),9 (1),552,unlim
Nagai Island,Base,1,Alaska,"176,48",0,0,0,0,,0,4,,,,,,,,0,,,0 (5),0 (1),553,unlim
Nome,Base,1,Alaska,"169,32",0,0,3,2,,2,4,,,,,,,,0,,,35 (5),7 (1),554,unlim
Port Heiden,Base,1,Alaska,"176,45",0,0,0,1,,0,2,,,,,,,,0,,,0 (5),0 (1),555,unlim
Galena,Airfield,1,Alaska,"175,30",0,0,0,0,,1,5,,,,,,,,0,,,10 (5),2 (1),556,unlim
Sagigik Island,Base,1,Alaska,"165,52",0,0,0,0,,0,3,,,,,,,,0,,,0 (5),0 (1),557,unlim
Sanak Island,Base,1,Alaska,"173,49",0,0,0,0,,0,1,,,,,,,,0,,,0 (5),0 (1),558,unlim
Seguam Island,Base,1,Alaska,"166,52",0,0,0,0,,0,3,,,,,,,,0,,,0 (5),0 (1),559,unlim
Semisopochnoi Island,Base,1,Alaska,"159,52",0,0,0,0,,0,3,,,,,,,,0,,,0 (5),0 (1),560,unlim
Seward,Base,1,Alaska,"182,38",0,0,3,3,,0,2,,,,,,,,0,,,30 (10),3 (1),561,unlim
Sitka,Base,1,Alaska,"193,39",0,0,3,3,,0,0,,,,,,,,0,,,15 (5),3 (1),562,unlim
Sitkinak Island,Base,1,Alaska,"180,45",0,0,0,0,,0,4,,,,,,,,0,,,0 (5),0 (1),563,unlim
Skagway,Base,1,Alaska,"191,35",0,0,2,2,,1,0,,,,,,,,0,,,100 (25),4 (1),564,unlim
Tugidak Island,Base,1,Alaska,"179,45",0,0,0,0,,0,4,,,,,,,,0,,,0 (5),0 (1),565,unlim
Ulak Island,Base,1,Alaska,"160,53",0,0,1,0,,0,2,,,,,,,,0,,,5 (5),1 (1),566,30K
Umnak Island,Base,1,Alaska,"169,51",0,0,1,0,,0,5,,,,,,,,0,,,5 (5),1 (1),567,unlim
Valdez,Base,1,Alaska,"183,35",0,0,2,1,,0,3,,,,,,,,0,,,20 (10),2 (1),568,unlim
Whittier,Base,1,Alaska,"182,36",0,0,1,3,,0,1,,,,,,,,0,,,10 (10),1 (1),569,unlim
Yakutat,Base,1,Alaska,"189,36",0,0,1,2,,2,1,,,,,,,,0,,,25 (5),5 (1),570,unlim
Yunaska Island,Base,1,Alaska,"167,52",0,0,0,0,,0,3,,,,,,,,0,,,0 (5),0 (1),571,unlim
French Frigate Shoal,Beach,1,Hawaii,"170,101",0,0,0,0,,0,0,,,,,,,,0,,,0 (3),0 (1),574,6K
Hilo,Base,1,Hawaii,"183,111",0,0,2,2,,1,5,,,,,,,,0,,,40 (10),4 (1),575,unlim
Kona,Base,1,Hawaii,"182,111",0,0,2,1,,1,5,,,,,,,,0,,,40 (10),4 (1),576,unlim
Lahaina,Base,1,Hawaii,"182,108",0,0,4,2,,3,7,,,,,,,,0,,,100 (10),10 (1),577,unlim
Lanai,Base,1,Hawaii,"181,109",0,0,0,0,,0,2,,,,,,,,0,,,0 (10),0 (1),578,unlim
Laysan Island,Beach,1,Hawaii,"164,96",0,0,0,0,,0,0,,,,,,,,0,,,0 (3),0 (1),579,6K
Lihue,Base,1,Hawaii,"178,106",0,0,2,1,,1,3,,,,,,,,0,,,40 (10),4 (1),580,unlim
Midway Island,Base,1,Hawaii,"158,91",0,0,1,1,,4,1,,,,,,,,0,,,27 (3),9 (1),581,6K
Molokai,Base,1,Hawaii,"181,108",0,0,1,1,,0,3,,,,,,,,0,,,10 (10),1 (1),582,unlim
Niihau,Base,1,Hawaii,"177,106",0,0,0,0,,0,4,,,,,,,,0,,,0 (10),0 (1),583,unlim
Pearl Harbor,Base,1,Hawaii,"180,107",0,0,7,5,,10,7,,,,,,,,80,,,2970 (110),540 (20),584,unlim
Jarvis Island,Beach,1,Hawaii,"170,144",0,0,0,0,,0,0,,,,,,,,0,,,0 (25),0 (1),587,6K
Palmyra,Base,1,Hawaii,"170,133",0,0,1,2,,2,0,,,,,,,,0,,,250 (50),5 (1),588,6K
Funafuti,Base,1,Tuvalu,"138,147",0,0,1,1,,0,0,,,,,,,,0,,,3 (3),1 (1),591,6K
Nanumea,Beach,1,Tuvalu,"136,141",0,0,0,0,,0,0,,,,,,,,0,,,0 (3),0 (1),592,6K
Nukufetau,Base,1,Tuvalu,"138,146",0,0,0,1,,0,0,,,,,,,,0,,,0 (3),0 (1),593,6K
Vaitupu,Base,1,Tuvalu,"138,145",0,0,1,0,,0,0,,,,,,,,0,,,3 (3),1 (1),594,6K
Canton Island,Base,1,Japan,"153,143",0,0,2,2,,2,0,,,,,,,,0,,,30 (5),6 (1),597,6K
Enderbury Island,Beach,1,Japan,"154,143",0,0,0,0,,0,0,,,,,,,,0,,,0 (5),0 (1),598,6K
Gardner Island,Beach,1,Japan,"149,144",0,0,0,0,,0,0,,,,,,,,0,,,0 (5),0 (1),599,6K
Sydney Island,Beach,1,Japan,"153,145",0,0,0,0,,0,0,,,,,,,,0,,,0 (5),0 (1),600,6K
Pago Pago,Base,1,Japan,"148,161",0,0,2,2,,1,4,,,,,,,,0,,,100 (25),4 (1),603,unlim
Ta'u,Base,1,Japan,"150,161",0,0,1,1,,0,2,,,,,,,,0,,,5 (5),1 (1),604,60K
Baker Island,Base,1,Japan,"149,136",0,0,0,0,,1,0,,,,,,,,0,,,2 (1),2 (1),607,6K
Guam,Base,1,Marianas,"106,95",0,0,2,2,,1,5,,,,,,,,0,,,12 (3),100 (25),608,unlim
Howland Island,Beach,1,Japan,"148,135",0,0,0,0,,0,0,,,,,,,,0,,,0 (1),0 (1),609,6K
Johnston Island,Base,1,Japan,"164,112",0,0,1,0,,2,0,,,,,,,,0,,,250 (50),5 (1),610,6K
Wake Island,Base,1,Japan,"136,98",0,0,1,0,,3,0,,,,,,,,0,,,21 (3),7 (1),611,6K
Kure Island,Beach,1,Japan,"157,90",0,0,0,0,,0,0,,,,,,,,0,,,0 (3),0 (1),612,6K
Cristobal,Base,1,Off-map,"228,101",0,0,4,4,,4,7,,,,,,,,0,,,12 (1),12 (1),614,unlim
Eastern USA,Base,1,Off-map,"227,27",0,0,10,10,,10,7,,,,,,,,0,,,30 (1),30 (1),615,unlim
Balboa,Base,1,Off-map,"229,102",0,0,3,1,,4,7,,,,,,,,0,,,11 (1),11 (1),616,unlim
Aparri,Base,1,Philippines,"82,73",0,0,1,1,,1,7,,,,,,,,0,,,6 (2),6 (2),620,unlim
Bataan,Base,1,Philippines,"78,77",0,0,2,1,,1,6,,,,,,,,0,,,8 (2),8 (2),621,unlim
Batangas,Base,1,Philippines,"79,78",0,0,3,2,,1,7,,,,,,,,0,,,10 (2),10 (2),622,unlim
Bayombong,Beach,1,Philippines,"80,75",0,0,0,0,,0,5,,,,,,,,0,,,0 (2),0 (2),623,unlim
Clark Field,Base,1,Philippines,"79,76",0,0,2,0,,5,8,,,,,,,,0,,,24 (2),300 (25),624,unlim
Iba,Base,1,Philippines,"78,75",0,0,2,0,,2,5,,,,,,,,0,,,12 (2),12 (2),625,unlim
Mauban,Base,1,Philippines,"80,78",0,0,1,1,,0,7,,,,,,,,0,,,2 (2),2 (2),626,unlim
Laoag,Base,1,Philippines,"81,72",0,0,1,1,,2,7,,,,,,,,0,,,10 (2),10 (2),627,unlim
Legaspi,Base,1,Philippines,"82,82",0,0,1,1,,1,7,,,,,,,,0,,,6 (2),6 (2),628,unlim
Lingayen,Base,1,Philippines,"79,75",0,0,1,1,,1,7,,,,,,,,0,,,6 (2),6 (2),629,unlim
Lucena,Base,1,Philippines,"79,79",0,0,1,1,,1,7,,,,,,,,0,,,6 (2),6 (2),630,unlim
Manila,Base,1,Philippines,"79,77",0,0,5,6,,3,7,,,,,,,,140,,,550 (50),1100 (100),631,unlim
Naga,Base,1,Philippines,"81,81",0,0,2,3,,1,7,,,,,,,,0,,,8 (2),8 (2),632,unlim
San Fernando,Base,1,Philippines,"80,74",0,0,1,1,,3,6,,,,,,,,0,,,14 (2),14 (2),633,unlim
Tuguegarao,Airfield,1,Philippines,"82,74",0,0,0,0,,2,7,,,,,,,,0,,,8 (2),8 (2),634,unlim
Vigan,Base,1,Philippines,"80,73",0,0,1,1,,2,6,,,,,,,,0,,,10 (2),10 (2),635,unlim
Butuan,Base,1,Philippines,"80,89",0,0,3,1,,1,6,,,,,,,,0,,,10 (2),10 (2),638,unlim
Cagayan,Base,1,Philippines,"79,89",0,0,2,2,,4,6,,,,,,,,20,,,20 (2),20 (2),639,unlim
Cotabato,Base,1,Philippines,"78,90",0,0,1,1,,2,7,,,,,,,,20,,,10 (2),10 (2),640,unlim
